Canale,durata(s)
EEGFp1,1.1171875
EEGFp1,0.609375
EEGFp1,0.8125
EEGFp1,0.7109375
EEGFp1,0.9140625
EEGFp1,1.015625
EEGFp1,1.015625
EEGFp1,0.7109375
EEGFp1,0.7109375
EEGFp1,1.625
EEGFp1,0.8125
EEGFp1,0.609375
EEGFp1,0.8125
EEGFp1,2.234375
EEGFp1,1.1171875
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,0.8125
EEGFp1,0.7109375
EEGFp1,0.7109375
EEGFp1,0.8125
EEGFp1,0.7109375
EEGFp1,0.7109375
EEGFp1,1.421875
EEGFp1,0.609375
EEGFp1,1.9296875
EEGFp1,0.609375
EEGFp1,1.1171875
EEGFp1,0.9140625
EEGFp1,0.609375
EEGFp1,0.9140625
EEGFp1,1.1171875
EEGFp1,0.7109375
EEGFp1,1.21875
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,1.015625
EEGFp1,0.609375
EEGFp1,0.7109375
EEGFp1,1.015625
EEGFp1,1.1171875
EEGFp1,1.1171875
EEGFp1,1.421875
EEGFp1,0.9140625
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,0.7109375
EEGFp1,1.1171875
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,2.03125
EEGFp1,0.8125
EEGFp1,0.8125
EEGFp1,1.1171875
EEGFp1,0.7109375
EEGFp1,0.9140625
EEGFp1,0.7109375
EEGFp1,0.8125
EEGFp1,0.8125
EEGFp1,0.9140625
EEGFp1,1.3203125
EEGFp1,1.015625
EEGFp1,1.625
EEGFp1,0.609375
EEGFp1,1.5234375
EEGFp1,0.9140625
EEGFp1,1.015625
EEGFp1,1.3203125
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,1.3203125
EEGFp1,0.8125
EEGFp1,1.421875
EEGFp1,1.015625
EEGFp1,3.5546875
EEGFp1,1.7265625
EEGFp1,0.8125
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.7109375
EEGFp1,0.8125
EEGFp1,0.609375
EEGFp1,0.7109375
EEGFp1,1.625
EEGFp1,0.9140625
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,2.234375
EEGFp1,1.21875
EEGFp1,0.9140625
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.9140625
EEGFp1,0.609375
EEGFp1,1.3203125
EEGFp1,1.3203125
EEGFp1,0.9140625
EEGFp1,0.7109375
EEGFp1,1.421875
EEGFp1,0.8125
EEGFp1,2.5390625
