Canale,durata(s)
EEGFp1,0.9140625
EEGFp1,0.9140625
EEGFp1,0.609375
EEGFp1,1.3203125
EEGFp1,0.8125
EEGFp1,1.1171875
EEGFp1,1.421875
EEGFp1,0.609375
EEGFp1,1.015625
EEGFp1,0.9140625
EEGFp1,0.8125
EEGFp1,2.1328125
EEGFp1,0.7109375
EEGFp1,0.7109375
EEGFp1,0.7109375
EEGFp1,0.8125
EEGFp1,1.9296875
EEGFp1,0.609375
EEGFp1,1.21875
EEGFp1,0.8125
EEGFp1,0.609375
EEGFp1,0.8125
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.8125
EEGFp1,0.8125
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,1.015625
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,0.7109375
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,0.7109375
EEGFp1,2.1328125
EEGFp1,0.9140625
EEGFp1,0.7109375
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,1.1171875
EEGFp1,0.609375
EEGFp1,0.9140625
EEGFp1,0.7109375
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.7109375
EEGFp1,0.7109375
EEGFp1,0.7109375
EEGFp1,0.7109375
EEGFp2,1.015625
EEGFp2,0.8125
EEGFp2,0.609375
EEGFp2,0.8125
EEGFp2,1.1171875
EEGFp2,0.609375
EEGFp2,0.9140625
EEGFp2,0.7109375
EEGFp2,1.7265625
EEGFp2,1.421875
EEGFp2,0.609375
EEGFp2,0.7109375
EEGFp2,0.7109375
EEGFp2,1.21875
EEGFp2,0.7109375
EEGFp2,0.9140625
EEGFp2,0.7109375
EEGFp2,0.609375
EEGFp2,0.7109375
EEGFp2,0.609375
EEGFp2,0.609375
EEGFp2,0.609375
EEGFp2,0.609375
